sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18aabasml,166.4865,37.62513,0.0472,1237664667365474435,166.4865,37.62537,0.04720976
ZTF18aaasvcd,142.2297,49.23812,0.00911,1237657633799012471,142.2308,49.23848,0.009109695
ZTF18aabsyqp,162.8185,22.47762,0.07667,1237667549270507623,162.8194,22.4769,0.07667208
ZTF18aaaoaeq,155.5408,10.44,-99.0,1237661064418820260,155.5411,10.44061,0.1062282
ZTF18aaanzph,157.7435,23.7884,-99.0,1237667429027151921,157.747,23.78854,0.06369319
ZTF18aaajrso,205.9994,30.9336,0.085,1237665330397053052,206.0001,30.93211,-99.0
ZTF18aaadqua,26.7987,18.7986,0.07,1237679503793062254,26.78945,18.79915,-99.0
ZTF18aabtaor,172.0952,44.74899,0.07,1237661873473323175,172.0977,44.74915,0.07983481
ZTF18aabvpeg,122.15,20.06309,0.037000000000000005,1237673809192354233,122.1499,20.06305,0.03699661
ZTF18aabssme,155.7115,14.05479,0.04,1237661070861402277,155.71200000000005,14.0546,0.04168029
ZTF18aabtwqb,112.5859,18.19071,0.0738,1237660765902865483,112.5867,18.19055,-99.0
ZTF18aabyhlc,226.8452,38.41656,0.029,1237661433785286693,226.8468,38.4204,0.02901171
ZTF18aagrcir,215.6922,49.31229,0.077,1237661959909278554,215.6919,49.3112,-99.0
ZTF18aaguhgb,219.4542,45.54928,0.12429,1237661212582084760,219.4542,45.5484,0.12428789999999999
ZTF18aagrgao,251.8564,25.68507,0.114,1237662300840395048,251.8571,25.6848,0.11397260000000001
ZTF18aagrebu,250.9158,26.59625,0.055,1237662300839870484,250.9174,26.59667,0.05492675
ZTF18aagrcfl,236.0959,39.55809,0.048,1237662500004561215,236.0961,39.55894,0.04793393
ZTF18aaccuih,222.2231,38.76754,0.0316,1237661851481735334,222.2245,38.76825,0.03166167
ZTF18aagtcxj,248.0482,42.71342,0.032,1237655501882982651,248.0474,42.71381,0.03235259
ZTF18aagtdce,248.0482,42.71341,0.0324,1237655501882982651,248.0474,42.71381,0.03235259
ZTF18aahfgsk,181.2429,32.39138,0.053770000000000005,1237665226767204466,181.2458,32.39117,0.05376995
